         17512671 function calls (17373053 primitive calls) in 103.279 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       62    0.000    0.000    0.068    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/ticker.py:1951(__call__)
       62    0.000    0.000    0.068    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/ticker.py:1955(tick_values)
        1    0.000    0.000    0.067    0.067 /Users/hjfreyer/src/RJMCMC/pipeline.py:187(InitialState)
       62    0.003    0.000    0.066    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/ticker.py:1900(_raw_ticks)
        4    0.000    0.000    0.066    0.017 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/pyplot.py:1361(title)
       15    0.000    0.000    0.066    0.004 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/pyplot.py:944(gca)
       15    0.000    0.000    0.066    0.004 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/figure.py:1580(gca)
      643    0.001    0.000    0.065    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backends/backend_tkagg.py:671(set_message)
   252825    0.062    0.000    0.064    0.000 {built-in method builtins.getattr}
      648    0.001    0.000    0.064    0.000 /Users/hjfreyer/.pyenv/versions/3.6.4/lib/python3.6/tkinter/__init__.py:339(set)
      230    0.003    0.000    0.063    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backends/backend_agg.py:183(draw_text)
      648    0.063    0.000    0.063    0.000 {method 'globalsetvar' of '_tkinter.tkapp' objects}
     1806    0.023    0.000    0.059    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/lib/function_base.py:4908(insert)
     1340    0.004    0.000    0.058    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:2032(rotate_deg_around)
    52044    0.058    0.000    0.058    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       32    0.000    0.000    0.056    0.002 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/spines.py:167(register_axis)
    25440    0.038    0.000    0.055    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/fft/helper.py:283(pop_twiddle_factors)
   288423    0.049    0.000    0.055    0.000 {method 'get' of 'dict' objects}
1688/1368    0.003    0.000    0.055    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/spines.py:440(get_spine_transform)
     1547    0.002    0.000    0.055    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/markers.py:167(__init__)
        5    0.000    0.000    0.054    0.011 /Users/hjfreyer/.pyenv/versions/3.6.4/lib/python3.6/tkinter/__init__.py:1809(wm_deiconify)
      742    0.021    0.000    0.054    0.000 /Users/hjfreyer/.pyenv/versions/3.6.4/lib/python3.6/tkinter/__init__.py:1382(_substitute)
    11617    0.010    0.000    0.053    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/numeric.py:146(ones)
1752/1368    0.001    0.000    0.052    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/spines.py:161(_ensure_position_is_set)
       64    0.000    0.000    0.051    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/spines.py:395(set_position)
    17330    0.014    0.000    0.051    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:1757(__init__)
   837204    0.051    0.000    0.051    0.000 {built-in method builtins.abs}
     1547    0.004    0.000    0.050    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/markers.py:251(set_marker)
  195/179    0.001    0.000    0.048    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:438(_get_tick1line)
  211/195    0.001    0.000    0.048    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:558(_get_tick1line)
    76369    0.032    0.000    0.048    0.000 {built-in method builtins.sum}
      120    0.004    0.000    0.048    0.000 /Users/hjfreyer/src/RJMCMC/pipeline.py:771(_RotateToPSV)
      619    0.010    0.000    0.048    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/lines.py:655(recache)
  211/195    0.001    0.000    0.046    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:573(_get_tick2line)
